file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,90,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,4
style.css,91,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,12
style.css,92,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,30
style.css,93,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,7
style.css,94,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,95,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,96,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,10
style.css,97,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,12
style.css,98,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,18
style.css,99,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,18
style.css,100,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,101,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,102,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,9
style.css,103,css,fd59032f,karizabal,2025-04-18,18:19:51,-07:00,2025-04-18T18:19:51-07:00,0,12
style.css,104,css,fd59032f,karizabal,2025-04-18,18:19:51,-07:00,2025-04-18T18:19:51-07:00,0,12
style.css,105,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,12
style.css,106,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,107,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,108,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,11
style.css,109,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,18
style.css,110,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,12
style.css,111,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,112,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,113,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,9
style.css,114,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,12
style.css,115,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,58
style.css,116,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,27
style.css,117,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,7
style.css,118,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,119,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,120,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,0,13
style.css,121,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,1,14
style.css,122,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,1,11
style.css,123,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,0,0
style.css,124,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,0,0
style.css,125,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,17
style.css,126,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,1,12
style.css,127,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,1,26
style.css,128,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,15
style.css,129,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,130,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,131,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,20
